,player_name,total_matches,total_wins,win_pct,Clay,Grass,Hard,clay_advantage,grass_advantage,hard_advantage
330,Nuno Borges,27,9,0.3333333333333333,3.0,0.0,6.0,0.3333333333333333,0.0,0.6666666666666666
331,Oleksandr Ovcharenko,1,0,0.0,0.0,0.0,0.0,,,
332,Oleksii Krutykh,5,2,0.4,0.0,0.0,2.0,0.0,0.0,1.0
333,Omni Kumar,4,2,0.5,0.0,0.0,2.0,0.0,0.0,1.0
334,Oriol Roca Batalla,1,0,0.0,0.0,0.0,0.0,,,
335,Oscar Otte,20,6,0.3,2.0,1.0,3.0,0.3333333333333333,0.16666666666666666,0.5
336,Osgar Ohoisin,3,1,0.3333333333333333,1.0,0.0,0.0,1.0,0.0,0.0
337,Otto Virtanen,9,4,0.4444444444444444,0.0,0.0,4.0,0.0,0.0,1.0
338,Pablo Andujar,4,0,0.0,0.0,0.0,0.0,,,
339,Pablo Carreno Busta,4,1,0.25,0.0,0.0,1.0,0.0,0.0,1.0
340,Pablo Llamas Ruiz,2,1,0.5,1.0,0.0,0.0,1.0,0.0,0.0
341,Patrick Kaukovalta,1,0,0.0,0.0,0.0,0.0,,,
342,Patrick Kypson,1,0,0.0,0.0,0.0,0.0,,,
343,Pavel Kotov,30,16,0.5333333333333333,5.0,2.0,9.0,0.3125,0.125,0.5625
344,Pedro Cachin,37,15,0.40540540540540543,14.0,0.0,1.0,0.9333333333333333,0.0,0.06666666666666667
345,Pedro Martinez,16,4,0.25,1.0,0.0,3.0,0.25,0.0,0.75
346,Pedro Sousa,1,0,0.0,0.0,0.0,0.0,,,
347,Petros Chrysochos,2,1,0.5,0.0,0.0,0.0,0.0,0.0,0.0
348,Philip Sekulic,3,1,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,1.0
349,Pierre Hugues Herbert,4,3,0.75,0.0,0.0,3.0,0.0,0.0,1.0
350,Prajnesh Gunneswaran,1,1,1.0,0.0,0.0,1.0,0.0,0.0,1.0
351,Quentin Halys,33,15,0.45454545454545453,4.0,2.0,9.0,0.26666666666666666,0.13333333333333333,0.6
352,Radu Albot,19,7,0.3684210526315789,2.0,0.0,5.0,0.2857142857142857,0.0,0.7142857142857143
353,Rafael Nadal,4,1,0.25,0.0,0.0,1.0,0.0,0.0,1.0
354,Ramkumar Ramanathan,1,0,0.0,0.0,0.0,0.0,,,
355,Raphael Calzi,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
356,Raul Garcia,1,0,0.0,0.0,0.0,0.0,,,
357,Ricardas Berankis,3,1,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
358,Riccardo Bonadio,3,1,0.3333333333333333,1.0,0.0,0.0,1.0,0.0,0.0
