,player_name,surface,cluster
588,Rodrigo Pacheco Mendez,Hard,1
179,Roman Safiullin,Clay,2
337,Roman Safiullin,Grass,0
589,Roman Safiullin,Hard,2
180,Rudolf Molleker,Clay,2
338,Ryan Peniston,Grass,1
339,Sasi Kumar Mukund,Grass,2
590,Sasi Kumar Mukund,Hard,1
181,Sebastian Baez,Clay,2
340,Sebastian Baez,Grass,2
591,Sebastian Baez,Hard,2
182,Sebastian Korda,Clay,2
341,Sebastian Korda,Grass,0
592,Sebastian Korda,Hard,2
183,Sebastian Ofner,Clay,0
342,Sebastian Ofner,Grass,1
593,Sebastian Ofner,Hard,0
594,Seong Chan Hong,Hard,2
343,Shintaro Mochizuki,Grass,2
595,Shintaro Mochizuki,Hard,0
344,Sho Shimabukuro,Grass,1
596,Sho Shimabukuro,Hard,0
597,Skander Mansouri,Hard,1
598,Soon Woo Kwon,Hard,0
184,Stan Wawrinka,Clay,1
345,Stan Wawrinka,Grass,2
599,Stan Wawrinka,Hard,0
185,Stefano Napolitano,Clay,1
600,Stefano Napolitano,Hard,1
186,Stefano Travaglia,Clay,1
601,Stefano Travaglia,Hard,1
602,Stefanos Sakellaridis,Hard,1
187,Stefanos Tsitsipas,Clay,1
346,Stefanos Tsitsipas,Grass,0
603,Stefanos Tsitsipas,Hard,2
188,Steve Johnson,Clay,1
347,Steve Johnson,Grass,0
604,Steve Johnson,Hard,0
605,Strong Kirchheimer,Hard,1
606,Sumit Nagal,Hard,2
189,Tallon Griekspoor,Clay,1
348,Tallon Griekspoor,Grass,0
607,Tallon Griekspoor,Hard,2
608,Tao Mu,Hard,1
190,Taro Daniel,Clay,0
349,Taro Daniel,Grass,2
609,Taro Daniel,Hard,0
191,Taylor Fritz,Clay,1
350,Taylor Fritz,Grass,0
610,Taylor Fritz,Hard,2
611,Terence Atmane,Hard,0
612,Thai Son Kwiatkowski,Hard,0
192,Thanasi Kokkinakis,Clay,1
613,Thanasi Kokkinakis,Hard,2
193,Thiago Agustin Tirante,Clay,2
614,Thiago Agustin Tirante,Hard,2
194,Thiago Monteiro,Clay,1
351,Thiago Monteiro,Grass,0
615,Thiago Monteiro,Hard,2
195,Thiago Seyboth Wild,Clay,1
616,Thiago Seyboth Wild,Hard,2
196,Thomaz Bellucci,Clay,0
617,Tim Van Rijthoven,Hard,2
197,Timofey Skatov,Clay,2
618,Timofey Skatov,Hard,2
619,Titouan Droguet,Hard,0
198,Tomas Barrios Vera,Clay,0
352,Tomas Barrios Vera,Grass,2
620,Tomas Barrios Vera,Hard,1
199,Tomas Machac,Clay,2
353,Tomas Machac,Grass,1
621,Tomas Machac,Hard,0
200,Tomas Martin Etcheverry,Clay,1
354,Tomas Martin Etcheverry,Grass,2
622,Tomas Martin Etcheverry,Hard,2
201,Tommy Paul,Clay,2
355,Tommy Paul,Grass,0
623,Tommy Paul,Hard,2
624,Tung Lin Wu,Hard,0
202,Ugo Humbert,Clay,1
356,Ugo Humbert,Grass,1
625,Ugo Humbert,Hard,2
203,Valentin Vacherot,Clay,2
626,Vasek Pospisil,Hard,0
627,Viktor Durasovic,Hard,0
204,Vitaliy Sachko,Clay,0
628,Vitaliy Sachko,Hard,2
205,Yannick Hanfmann,Clay,1
357,Yannick Hanfmann,Grass,0
629,Yannick Hanfmann,Hard,2
630,Ye Cong Mo,Hard,2
631,Yi Zhou,Hard,0
206,Yibing Wu,Clay,0
358,Yibing Wu,Grass,2
632,Yibing Wu,Hard,0
207,Yoshihito Nishioka,Clay,2
359,Yoshihito Nishioka,Grass,2
633,Yoshihito Nishioka,Hard,0
208,Yosuke Watanuki,Clay,0
360,Yosuke Watanuki,Grass,0
634,Yosuke Watanuki,Hard,0
209,Younes Lalami Laaroussi,Clay,0
635,Yu Hsiou Hsu,Hard,2
636,Yuki Bhambri,Hard,1
361,Yunseong Chung,Grass,2
637,Zachary Svajda,Hard,0
638,Zhe Li,Hard,0
210,Zhizhen Zhang,Clay,1
362,Zhizhen Zhang,Grass,2
639,Zhizhen Zhang,Hard,2
211,Zizou Bergs,Clay,1
640,Zizou Bergs,Hard,0
212,Zsombor Piros,Clay,2
641,Zsombor Piros,Hard,1
